French,English
partie,part
police,police
genre,kind
frère,brother
laisse,leash
eux,them
devrait,should
bébé,baby
vont,will
affaire,case
donner,give
donné,given
train,train
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
premier,first
tiens,here
matin,morning
tellement,so much
venez,come
devant,in front of
vers,towards
chambre,bedroom
mis,placed
droit,law
aujourd'hui,today
enfin,finally
eau,water
parti,left
terre,Earth
croire,believe
chérie,sweetheart
filles,girls
jouer,to play
bureau,office
